VarName,Class
LegID,categorical
LegType,categorical
LegRtType,categorical
LegSpeed,numeric
LegWidth,numeric
NumLanes,numeric
MergeLanes,numeric
PaveType,categorical
MedType,categorical
MedWidth,numeric
LegTCType,categorical
LTLanes,numeric
LTWidth,numeric
LTLnLength,numeric
LTOffset,numeric
RTLanes,numeric
RTWidth,numeric
RTLnLength,numeric
RTChannel,categorical
RTMoveCtrl,categorical
PedCross,categorical
Rumble,categorical
OneWay,categorical
TurnProhib,categorical
SightLt,categorical
SightRt,categorical
IntCat,categorical
AreaType,categorical
NumberLegs,numeric
IntTCType,categorical
Lighting,categorical
Terrain,categorical
Offset,categorical
OffsetDist,numeric
SkewAngle,numeric
NextPIDist,numeric
AADT,numeric
IntAADT,numeric
5YrCrashCount,numeric
1YrCrashCount,numeric
