"IntID","LegID","LegType","LegRtType","LegSpeed","LegWidth","NumLanes","MergeLanes","PaveType","MedType","MedWidth","LegTCType","LTLanes","LTWidth","LTLnLength","LTOffset","RTLanes","RTWidth","RTLnLength","RTChannel","RTMoveCtrl","PedCross","Rumble","OneWay","TurnProhib","SightLt","SightRt","IntCat","AreaType","NumberLegs","IntTCType","Lighting","Terrain","Offset","OffsetDist","SkewAngle","NextPIDist","AADT","IntAADT","X5YrCrashCount","X1YrCrashCount","TotalAADT","TotalT5YearInM","Traffic","Lat","Long","County","City"
"100791","100791_4","2","5",25,23,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","2",0,2,325,7330,7330,0,0,15184,13.37725,13.37725,34.91121,-87.66978,"Lauderdale","Rural Lauderdale"
"100791","100791_3","2","5",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","2",0,2,325,7330,7330,0,0,15184,13.37725,13.37725,34.91121,-87.66978,"Lauderdale","Rural Lauderdale"
"100791","100791_1","1","1",55,27,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","2",0,2,325,262,7330,2,0.4,15184,0.47815,13.37725,34.91121,-87.66978,"Lauderdale","Rural Lauderdale"
"100791","100791_2","1","1",55,27,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","2",0,2,325,262,7330,1,0.2,15184,0.47815,13.37725,34.91121,-87.66978,"Lauderdale","Rural Lauderdale"
"102300","102300_3","2","5",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","1","1",3,"1","2","2","2",0,2,325,7330,7330,0,0,7854,13.37725,13.37725,34.91048,-87.66981,"Lauderdale","Rural Lauderdale"
"102300","102300_2","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","1","1",3,"1","2","2","2",0,2,325,262,7330,0,0,7854,0.47815,13.37725,34.91048,-87.66981,"Lauderdale","Rural Lauderdale"
"102300","102300_1","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","1","1",3,"1","2","2","2",0,2,325,262,7330,0,0,7854,0.47815,13.37725,34.91048,-87.66981,"Lauderdale","Rural Lauderdale"
"110871","110871_1","1","1",55,50,3,"0","1","1",0,"1",0,0,0,0,1,13,145,"1","1","1","2","2","1","2","2","4","1",4,"2","2","2","1",11,3,691,271,7920,0,0,16382,0.494575,14.454,32.91583,-87.63962,"Hale","Rural Hale"
"110871","110871_2","1","1",55,38,3,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","4","1",4,"2","2","2","1",11,3,691,271,7920,5,1,16382,0.494575,14.454,32.91583,-87.63962,"Hale","Rural Hale"
"110871","110871_3","2","3",25,17,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","4","1",4,"2","2","2","1",11,3,691,7920,7920,0,0,16382,14.454,14.454,32.91583,-87.63962,"Hale","Rural Hale"
"110871","110871_4","2","4",25,17,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","4","1",4,"2","2","2","1",11,3,691,7920,7920,0,0,16382,14.454,14.454,32.91583,-87.63962,"Hale","Rural Hale"
"111200","111200_1","1","1",35,27,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","1","2",0,2,294,105,18130,2,0.4,36470,0.191625,33.08725,34.73389,-87.63518,"Colbert","Muscle Shoals"
"111200","111200_4","2","4",25,31,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","1","2",0,2,294,18130,18130,0,0,36470,33.08725,33.08725,34.73389,-87.63518,"Colbert","Muscle Shoals"
"111200","111200_2","1","1",35,27,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","1","2",0,2,294,105,18130,0,0,36470,0.191625,33.08725,34.73389,-87.63518,"Colbert","Muscle Shoals"
"111200","111200_3","2","4",25,31,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","1","2",0,2,294,18130,18130,0,0,36470,33.08725,33.08725,34.73389,-87.63518,"Colbert","Muscle Shoals"
"111989","111989_3","2","4",25,19,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","1","2",0,4,400,14110,14110,0,0,14218,25.75075,25.75075,34.72239,-87.63497,"Colbert","Muscle Shoals"
"111989","111989_1","1","1",35,26,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","1","1","2",0,4,400,54,14110,0,0,14218,0.09855,25.75075,34.72239,-87.63497,"Colbert","Muscle Shoals"
"111989","111989_2","1","1",35,26,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","5","2",3,"1","1","1","2",0,4,400,54,14110,1,0.2,14218,0.09855,25.75075,34.72239,-87.63497,"Colbert","Muscle Shoals"
"113829","113829_3","2","3",25,36,1,"0","1","1",0,"2",1,12,339,0,1,20,339,"2","2","1","2","2","1","2","2","3","1",3,"1","2","2","2",0,3,820,68,7920,3,0.6,610,0.1241,14.454,32.9414,-87.6275,"Hale","Rural Hale"
"113829","113829_1","1","1",55,55,2,"0","1","3",12,"1",0,0,0,0,1,20,394,"3","3","1","2","2","1","3","2","3","1",3,"1","2","2","2",0,3,820,271,7920,4,0.8,610,0.494575,14.454,32.9414,-87.6275,"Hale","Rural Hale"
"113829","113829_2","1","1",55,52,2,"1","1","1",0,"1",1,17,301,0,0,0,0,"1","1","1","2","2","1","2","3","3","1",3,"1","2","2","2",0,3,820,271,7920,3,0.6,610,0.494575,14.454,32.9414,-87.6275,"Hale","Rural Hale"
"115088","115088_1","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",12,15,1326,211,4890,0,0,10202,0.385075,8.92425,32.89509,-87.62003,"Hale","Rural Hale"
"115088","115088_2","1","1",55,25,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","1","2","1",4,"2","2","2","1",12,15,1326,211,4890,0,0,10202,0.385075,8.92425,32.89509,-87.62003,"Hale","Rural Hale"
"115088","115088_4","2","4",25,12,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",12,15,1326,4890,4890,0,0,10202,8.92425,8.92425,32.89509,-87.62003,"Hale","Rural Hale"
"115088","115088_3","2","4",25,18,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",12,15,1326,4890,4890,0,0,10202,8.92425,8.92425,32.89509,-87.62003,"Hale","Rural Hale"
"116365","116365_1","1","1",55,24,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",14,13,1588,48,1370,0,0,428,0.0876,2.50025,32.01441,-87.61568,"Wilcox","Rural Wilcox"
"116365","116365_4","2","3",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",14,13,1588,166,1370,0,0,428,0.30295,2.50025,32.01441,-87.61568,"Wilcox","Rural Wilcox"
"116365","116365_2","1","1",55,24,2,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",14,13,1588,48,1370,0,0,428,0.0876,2.50025,32.01441,-87.61568,"Wilcox","Rural Wilcox"
"116365","116365_3","2","3",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","2","1",4,"2","2","2","1",14,13,1588,166,1370,0,0,428,0.30295,2.50025,32.01441,-87.61568,"Wilcox","Rural Wilcox"
"119402","119402_4","2","5",35,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,145,11570,4,0.8,332,0.264625,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_1","1","1",45,40,2,"0","1","1",0,"1",1,12,108,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,21,11570,4,0.8,332,0.038325,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_3","2","5",35,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,145,11570,1,0.2,332,0.264625,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"119402","119402_2","1","1",45,36,2,"0","1","3",11,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","6","2",4,"2","1","2","1",11,37,365,21,11570,1,0.2,332,0.038325,21.11525,33.19419,-87.59854,"Tuscaloosa","Tuscaloosa"
"120600","120600_2","1","1",45,39,2,"0","1","4",17,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","5","2",3,"1","1","2","2",0,5,408,50,13780,2,0.4,13880,0.09125,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120600","120600_1","1","1",45,37,2,"0","1","1",0,"1",1,13,112,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","1","2","2",0,5,408,50,13780,2,0.4,13880,0.09125,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120600","120600_3","2","5",15,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","2","2",0,5,408,13780,13780,0,0,13880,25.1485,25.1485,33.19871,-87.59427,"Tuscaloosa","Tuscaloosa"
"120958","120958_3","2","5",15,30,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","2","2",0,5,52,12790,12790,0,0,12866,23.34175,23.34175,33.20051,-87.59089,"Tuscaloosa","Tuscaloosa"
"120958","120958_2","1","1",45,40,2,"0","1","1",0,"1",1,14,124,0,0,0,0,"1","1","1","2","2","1","2","3","5","2",3,"1","1","2","2",0,5,52,38,12790,0,0,12866,0.06935,23.34175,33.20051,-87.59089,"Tuscaloosa","Tuscaloosa"
