IntID,Lat,Long,County,City
287432,33.68021,-86.69232,Jefferson,Rural Jefferson
290477,33.68357,-86.68274,Jefferson,Rural Jefferson
307262,33.50869,-86.59141,Jefferson,Leeds
315575,33.54545,-86.54605,Jefferson,Leeds
393327,33.59188,-86.12339,Talladega,Lincoln
64249,33.70011,-87.82852,Fayette,Fayette
64993,33.68442,-87.82755,Fayette,Fayette
62105,33.69545,-87.83759,Fayette,Fayette
68504,33.68151,-87.79878,Fayette,Rural Fayette
70604,30.8825,-87.78698,Baldwin,Bay Minette
73776,30.88538,-87.7753,Baldwin,Bay Minette
79061,30.89067,-87.7527,Baldwin,Bay Minette
87620,30.55522,-87.71101,Baldwin,Robertsdale
123464,31.99887,-87.58313,Wilcox,Pine Hill
116365,32.01441,-87.61568,Wilcox,Rural Wilcox
82051,31.92676,-87.73896,Clarke,Thomasville
81431,31.8982,-87.74311,Clarke,Thomasville
268060,31.65128,-86.77607,Butler,Georgiana
303531,34.72011,-86.61201,Madison,Huntsville
300883,34.73506,-86.62469,Madison,Huntsville
44398,34.16209,-87.9719,Marion,Hamilton
39912,34.13684,-88.01612,Marion,Hamilton
543973,31.87007,-85.461,Barbour,Clayton
502001,31.87815,-85.44426,Barbour,Clayton
459189,31.59127,-85.77863,Dale,Rural Dale
518428,31.51743,-85.70949,Dale,Rural Dale
206093,31.45821,-86.96604,Conecuh,Evergreen
448539,33.65068,-85.82656,Calhoun,Anniston
485954,33.65379,-85.84125,Calhoun,Anniston
438022,33.59869,-85.86226,Calhoun,Oxford
430933,33.59281,-85.89946,Calhoun,Oxford
407754,34.07437,-86.02635,Etowah,Gadsden
89424,32.88063,-87.70358,Hale,Rural Hale
110871,32.91583,-87.63962,Hale,Rural Hale
115088,32.89509,-87.62003,Hale,Rural Hale
113829,32.9414,-87.6275,Hale,Rural Hale
128229,33.18795,-87.55733,Tuscaloosa,Tuscaloosa
126754,33.19626,-87.5623,Tuscaloosa,Tuscaloosa
140617,33.1983,-87.47591,Tuscaloosa,Tuscaloosa
143134,33.19007,-87.44536,Tuscaloosa,Tuscaloosa
